PERMIT#,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,WORK_DESCRIPTION,CONTACT_1_TYPE,CONTACT_1_NAME,CONTACT_2_TYPE,CONTACT_2_NAME,CONTACT_3_TYPE,CONTACT_3_NAME,full_address,is_city_initiated
100340189,2111,W,FULLERTON AVE,DEMOLITION OF CAR WASH BAYS PORTION OF BUILDING.,CONTRACTOR-GENERAL CONTRACTOR,M & R DEMOLITION,OWNER,CAR WASH DEVELOPEMENT,,,2111 W FULLERTON AVE,False
100353364,3748,S,HERMITAGE AVE,WRECK & REMOVE 2 STORY FRAME BUILDING & 1 STORY FRAME GARAGE,CONTRACTOR-WRECKING,"MP CONSTRUCTION, INC",OWNER,KASPER DEV LTD,,,3748 S HERMITAGE AVE,False
100352136,339,W,109TH ST,WRECK AND REMOVE A 1 STORY FRAME RESIDENTIAL BUILDIGN WITH BASEMENT.,CONTRACTOR-WRECKING,LEEWAY WRECKER INC.,OWNER,CITY OF CHICAGO,,,339 W 109TH ST,True
100353246,4629,S,CHAMPLAIN AVE,WRECK & REMOVE 2 STORY BRICK/FRAME BUILDING.,CONTRACTOR-WRECKING,DELTA DEMOLITION,OWNER,CITY OF CHICAGO,,,4629 S CHAMPLAIN AVE,True
100341137,544,W,60TH PL,WRECK AND REMOVE A 1 STORY FRAME RESIDENCE WITH ATTIC & CRAWL SPACE.,CONTRACTOR-WRECKING,LEEWAY WRECKER INC.,OWNER,CITY OF CHICAGO,,,544 W 60TH PL,True
100347567,3223,S,INDIANA AVE,WRECK AND REMOVE A 1 1\2 STORY RES BUILDING,CONTRACTOR-WRECKING,MIDWEST WRECKING,OWNER,IILINOIS COLLEGE OF OPTOMETRY,,,3223 S INDIANA AVE,False
100342411,6221,N,CENTRAL PARK AVE,DEMO TWO STORY MASONRY BLDG,CONTRACTOR-WRECKING,"SCIORTINO GROUP, INC.",OWNER,CHAIM RAJCHENBACH,,,6221 N CENTRAL PARK AVE,False
100348705,1622,S,MORGAN ST,WRECK AND REMOVE A BRICK SINGLE FAMILY RESIDENCE AND GARAGE,CONTRACTOR-WRECKING,TAYLOR EXCAVATING/CONS,OWNER,HANS HEITMANN,,,1622 S MORGAN ST,False
100343333,6050,S,WINCHESTER AVE,WRECK & REMOVE 2 STORY FRAME RESIDENTIAL BUILDING,CONTRACTOR-WRECKING,ALLIANCE DEMOLITION SERVICES I,OWNER,CITY OF CHICAGO,,,6050 S WINCHESTER AVE,True
100341129,57,E,103RD PL,WRECK AND REMOVE A 1 STORY FRAME RESIDENCE WITH ATTIC & CRAWL SPACE.,CONTRACTOR-WRECKING,LEEWAY WRECKER INC.,OWNER,CITY OF CHICAGO,,,57 E 103RD PL,True
100346043,11958,S,PERRY AVE,WRECK AND REMOVE A 2 STORY BRICK RESIDENTIAL BUILDING.,CONTRACTOR-WRECKING,SPIRIT WRECKING & EXCAVATION,OWNER,CITY OF CHICAGO,,,11958 S PERRY AVE,True
100342469,6938,S,ELIZABETH ST,WRECK AND REMOVE A 1 STORY RESIDENCE.,CONTRACTOR-WRECKING,BECHSTEIN CONSTRUCTION,OWNER,CITY OF CHICAGO,,,6938 S ELIZABETH ST,True
100347318,1939,W,DICKENS AVE,WRECK AND REMOVE AN EXISTING FRAME SFR.,CONTRACTOR-GENERAL CONTRACTOR,PRECISION EXCAVATION L L C,OWNER,DAVID & HILARY PISAR,,,1939 W DICKENS AVE,False
100342832,7300,S,HALSTED ST,WRECK AND REMOVE TWO STORY BRICK BLDG,CONTRACTOR-WRECKING,CLP II INC.,OWNER,WELLS FARGO MORAGE,,,7300 S HALSTED ST,False
100342223,5255,S,PRINCETON AVE,DEMO OF TWO STORY FRAME RESIDENTIAL,CONTRACTOR-WRECKING,SPIRIT WRECKING & EXCAVATION,OWNER,CITY OF CHGO,,,5255 S PRINCETON AVE,False
100346838,8213,S,COLES AVE,OIA '8213 S COLFAX AVE' WRECK AND REMOVE A 2 STORY BRICK MULTI USE RESIDENTIAL WITH ATTIC & BASEMENT.,CONTRACTOR-WRECKING,LEEWAY WRECKER INC.,OWNER,CITY OF CHICAGO,,,8213 S COLES AVE,True
100342464,325,W,108TH ST,WRECK AND REMOVE FA 1 STORY RESIDENCE.,CONTRACTOR-WRECKING,BECHSTEIN CONSTRUCTION,OWNER,CITY OF CHICAGO,,,325 W 108TH ST,True
100345051,5439,W,POTOMAC AVE,DEMO OF ONE STORY FRAME,CONTRACTOR-WRECKING,SPIRIT WRECKING & EXCAVATION,OWNER,RESUE CLEANING AND FIRE RESTORATION,,,5439 W POTOMAC AVE,False
100341381,5918,S,LAFLIN ST,WRECK AND REMOVE A 2 STORY BRICK MULTI-FAMILY BUILDING WITH BASEMENT AND ATTIC.,CONTRACTOR-WRECKING,LEEWAY WRECKER INC.,OWNER,CITY OF CHICAGO,,,5918 S LAFLIN ST,True
100347806,11330,S,NORMAL AVE,COMPLETE DEMOLITION OF A BRICK RESIDENCE & 2 CAR GARAGE.,CONTRACTOR-GENERAL CONTRACTOR,BECHSTEIN CONSTRUCTION,CONTRACTOR-WRECKING,BECHSTEIN CONSTRUCTION,OWNER,SELECT PORTFOLIO,11330 S NORMAL AVE,False
100353355,1510,W,17TH ST,EMERGENCY DEMOLITON OF A 3 STORY BRICK RESIDENTIAL BUILDING,CONTRACTOR-WRECKING,"D.M.D. SERVICES, INC.",OWNER,CITY OF CHICAGO,,,1510 W 17TH ST,True
100345045,6211,S,MORGAN ST,DEMO TWO STORY FRAME ( EMERGENCY ),CONTRACTOR-WRECKING,SPIRIT WRECKING & EXCAVATION,OWNER,CITY OF CHGO,,,6211 S MORGAN ST,False
100346658,5537,S,PERRY AVE,EMERGENCY DEMOLITION OF TWO STORY FRAME BLDG ( RESIDENTIAL),CONTRACTOR-WRECKING,HENEGHAN WRECK/EXCAV,OWNER,CITY OF CHGO,,,5537 S PERRY AVE,False
100345663,5517,S,LAFAYETTE AVE,EMERGENCY DEMOLITION OF A 2 STORY FRAME RES,CONTRACTOR-WRECKING,HENEGHAN WRECK/EXCAV,OWNER,CITY OF CHICAGO,,,5517 S LAFAYETTE AVE,True
100344156,1542,S,KENNETH AVE,WRECK & REMOVE TWO STORY FRAME BUILDING,CONTRACTOR-WRECKING,SPIRIT WRECKING & EXCAVATION,OWNER,CITY OF CHICAGO,,,1542 S KENNETH AVE,True
100341790,3648,N,PAGE AVE,WREKING FRAME REAR BLDG,CONTRACTOR-WRECKING,CITIBUILDERS CONSTRUCTION INC,OWNER,ROMAN KAPLKUNOW,,,3648 N PAGE AVE,False
100346862,3430,W,FULTON BLVD,WRECK AND REMOVE A 2 STORY BRICK,CONTRACTOR-WRECKING,MMT DEMOLITION.INC,OWNER,MERCY PORTFOLIO,,,3430 W FULTON BLVD,False
100342760,9388,S,EWING AVE,WRECK & REMOVE 1 STORY BRICK COMMERCIAL BUILDING,CONTRACTOR-WRECKING,TRI-STATE DISPOSAL INC,OWNER,"LUHR BROS., INC",,,9388 S EWING AVE,False
100346041,5654,S,LAFAYETTE AVE,WRECK AND REMOVE A 2 STORY FRAME RESIDENTIAL BUILDING.,CONTRACTOR-WRECKING,SPIRIT WRECKING & EXCAVATION,OWNER,CITY OF CHICAGO,,,5654 S LAFAYETTE AVE,True
100341888,6734,S,BISHOP ST,WRECK AND REMOVE A 2 STORY 2 UNIT FRAME BUILDING.,CONTRACTOR-WRECKING,DELTA DEMOLITION,OWNER,CITY OF CHICAGO,,,6734 S BISHOP ST,True
100344858,11159,S,HOMAN AVE,WRECK AND REMOVE A 1 STORY BLOCK AND FRAEM GARAGE ONLY.,CONTRACTOR-WRECKING,"LAUGHILL CONSTRUCTION, INC.",OWNER,TOM COSTELLO,,,11159 S HOMAN AVE,False
100356242,3741,S,WOLCOTT AVE,EMERGENCY DEMOLITION: WRECK AND REMOVE A 1 STORY FRAME HOUSE.,CONTRACTOR-WRECKING,CRUNCH INC,OWNER,LOTTIE & MARYANN MLKRUT,,,3741 S WOLCOTT AVE,False
100364112,11950,S,PARNELL AVE,WRECK & REMOVE 2 STORY FRAME RESIDENTIAL BUILDING,CONTRACTOR-WRECKING,ALLIANCE DEMOLITION SERVICES I,OWNER,CITY OF CHICAGO,,,11950 S PARNELL AVE,True
100364649,12012,S,PERRY AVE,WRECK AND REMOVE A 1 STORY BRICK RESIDENTIAL BUILDING WITH GARAGE.,CONTRACTOR-WRECKING,ALLIANCE DEMOLITION SERVICES I,OWNER,CITY OF CHICAGO,,,12012 S PERRY AVE,True
100356640,6811,S,SANGAMON ST,EMERGENCY DEMOLITION: WRECK AND REMOVE A 2 STORY FRAME RESIDENTIAL BUILDING.,CONTRACTOR-WRECKING,ALLIANCE DEMOLITION SERVICES I,OWNER,CITY OF CHICAGO,,,6811 S SANGAMON ST,True
100363853,1452,S,HARDING AVE,WRECK AND REMOVE A 2 STORY BRICK & FRAME BUILDING.,CONTRACTOR-WRECKING,DELTA DEMOLITION,OWNER,CITY OF CHICAGO,,,1452 S HARDING AVE,True
100364650,10546,S,PERRY AVE,WRECK AND REMOVE A 2 STORY FRAME RESIDENTIAL BUILDING.,CONTRACTOR-WRECKING,ALLIANCE DEMOLITION SERVICES I,OWNER,CITY OF CHICAGO,,,10546 S PERRY AVE,True
100359219,3453,W,54TH PL,WRECK AND REMOVE A 1 STORY COACH HOUSE.,CONTRACTOR-WRECKING,"LAGOS GENERAL CONTRACTORS, INC",OWNER,EDUARDO GONZALEZ,,,3453 W 54TH PL,False
100358450,11732,S,SANGAMON ST,EMERGENCY DEMOLITON: WRECK AND REMOVE A 2 STORY FRAME RESIDENTIAL BUILDING.,CONTRACTOR-WRECKING,ALLIANCE DEMOLITION SERVICES I,OWNER,CITY OF CHICAGO,,,11732 S SANGAMON ST,True
100358083,2155,W,GRACE ST,WRECK AND REMOVE A 1 STORY BRICK\FRAME SINGLE FAMILY HOME WITH GARAGE.,CONTRACTOR-WRECKING,QUALITY EXCAVATION,OWNER,TAS CONSTRUCTION,,,2155 W GRACE ST,False
100359642,11950,S,MICHIGAN AVE,CITY EMERGENCY DEMOLITION OF A 2 STORY RESIDENTIAL BUILDING.,CONTRACTOR-WRECKING,HENEGHAN WRECK/EXCAV,OWNER,CITY OF CHICAGO,,,11950 S MICHIGAN AVE,True
100356105,6322,S,DAMEN AVE,WRECK & REMOVE 2 STORY FRAME BUILDING,CONTRACTOR-WRECKING,DELTA DEMOLITION,OWNER,CITY OF CHICAGO,,,6322 S DAMEN AVE,True
100362193,6753,S,ADA ST,WRECK & REMOVE 1 STORY FRAME RESIDENTIAL BUILDING W/ ATTIC & BSMT,CONTRACTOR-WRECKING,LEEWAY WRECKER INC.,OWNER,CITY OF CHICAGO,,,6753 S ADA ST,True
100362537,7705,S,WOOD ST,WRECK AND REMOVE 2 1/2 STORY BRICK SINGLE FAMILY,CONTRACTOR-WRECKING,MIDWEST WRECKING,OWNER,WILLIE WOODS,,,7705 S WOOD ST,False
100356909,4703,W,OHIO ST,WRECK & REMOVE 1 STORY FRAME BUILDING,CONTRACTOR-WRECKING,SPIRIT WRECKING & EXCAVATION,OWNER,CITY OF CHICAGO,,,4703 W OHIO ST,True
100358352,12431,S,EGGLESTON AVE,WRECK AND REMOVE FIRE DAMAGED COACH HOUSE,CONTRACTOR-WRECKING,BECHSTEIN CONSTRUCTION,OWNER,CITY OF CHICAGO,,,12431 S EGGLESTON AVE,True
100359018,4654,W,SUPERIOR ST,WRECK AND REMOVE A 1 STORY BRICK RESIDENTIAL BUILDING,CONTRACTOR-GENERAL CONTRACTOR,BECHSTEIN CONSTRUCTION,OWNER,CITY OF CHICAGO,,,4654 W SUPERIOR ST,True
100362814,5661,S,NORMAL BLVD,WRECK & REMOVE 2 STORY FRAME RESIDENTIAL BUILDING,CONTRACTOR-WRECKING,LEEWAY WRECKER INC.,OWNER,GARFIELD DEVELOPMENT CO. INC.,,,5661 S NORMAL BLVD,False
100359162,5013,W,CHICAGO AVE,WRECK AND REMOVE 2 STORY FRAME RESIDENCE,CONTRACTOR-WRECKING,DELTA DEMOLITION,OWNER,CITY OF CHICAGO,,,5013 W CHICAGO AVE,True
100356332,5327,N,LINCOLN AVE,WRECK AND REMOVE A 1 STORY BRICK COMMERCIAL BUILDING (STORE\OFFICE) AND 1 STORY BRICK GARAGE (STORAGE\PARKING).,CONTRACTOR-WRECKING,MC DONAGH DEMOLITION,OWNER,CITY OF CHICAGO,,,5327 N LINCOLN AVE,True
100357250,1328,S,HOMAN AVE,WRECK AND REMOVE A 3 STORY MULTIU USE BUILDING.,CONTRACTOR-WRECKING,MC DONAGH DEMOLITION,OWNER,CITY OF CHICAGO,,,1328 S HOMAN AVE,True
100359883,5924,S,WABASH AVE,WRECK AND REMOVE FRMAE SINGLE FAMILY WITH GARAGE,CONTRACTOR-WRECKING,C & R EXCAVATION INC,OWNER,MCMAHON AND BEGLEY,,,5924 S WABASH AVE,False
100359016,12056,S,NORMAL AVE,WRECK AND REMOVE A 2 STORY FRAME RESIDENTIAL BUILDING,CONTRACTOR-GENERAL CONTRACTOR,BECHSTEIN CONSTRUCTION,OWNER,CITY OF CHICAGO,,,12056 S NORMAL AVE,True
100360108,2400,S,STATE ST,WRECK AND REMVOE A 1 STORY BRICK BUILDING.,CONTRACTOR-WRECKING,DELTA DEMOLITION,OWNER,CITY OF CHICAGO,,,2400 S STATE ST,True
100360114,2320,S,STATE ST,WRECK AND REMVOE A 9 STORY BRICK BUILDING.,CONTRACTOR-WRECKING,DELTA DEMOLITION,OWNER,CHICAGO HOUSING AUTHORITY,,,2320 S STATE ST,False
100365923,5819,S,WABASH AVE,WRECK & REMOVE TWO STORY BRICK BUILDING,CONTRACTOR-WRECKING,SPIRIT WRECKING & EXCAVATION,OWNER,CITY OF CHICAGO,,,5819 S WABASH AVE,True
100365944,1322,S,INDEPENDENCE BLVD,WRECK & REMOVE TWO STORY FRAME BUILDING,CONTRACTOR-WRECKING,SPIRIT WRECKING & EXCAVATION,OWNER,CITY OF CHICAGO,,,1322 S INDEPENDENCE BLVD,True
100361578,5834,S,NORMAL BLVD,WRECK AND REMOVE A 1 STORY BRICK COMMERCIAL BUILDING,CONTRACTOR-WRECKING,LEEWAY WRECKER INC.,OWNER,GARFIELD DEVELOPMENT CO. INC.,,,5834 S NORMAL BLVD,False
100365122,1931,W,BARRY AVE,WRECK\REMOVE EXISTING FRAME SFR.,CONTRACTOR-WRECKING,PRECISION EXCAVATION L L C,OWNER,BARRETT HOMES,,,1931 W BARRY AVE,False
100360912,11552,S,STATE ST,WRECK AND REMOVE A 1 1/2 STORY FRAME HOUSE AND FRAME GARAGE.,CONTRACTOR-WRECKING,CRUNCH INC,OWNER,CHASE HOME FINANCE,,,11552 S STATE ST,False
100363850,5436,S,PAULINA ST,WRECK AND REMOVE A 2 STORY BRICK BUILDING.,CONTRACTOR-WRECKING,DELTA DEMOLITION,OWNER,CITY OF CHICAGO,,,5436 S PAULINA ST,True
100364836,6828,S,INDIANA AVE,WRECK AND REMOVE A 2 STORY BRICK BUILDING & FRAME GARAGE.,CONTRACTOR-WRECKING,"D.M.D. SERVICES, INC.",OWNER,CITY OF CHICAGO,,,6828 S INDIANA AVE,True
100361523,5358,S,BISHOP ST,WRECK AND REMOVE A 1 STORY FRAME RESIDENCE,CONTRACTOR-GENERAL CONTRACTOR,BECHSTEIN CONSTRUCTION,OWNER,CITY OF CHICAGO,,,5358 S BISHOP ST,True
100358811,6720,S,HONORE ST,EMERGENCY WRECK AND REMOVE 2 STORY BRICK RESIDENCE,CONTRACTOR-WRECKING,"D.M.D. SERVICES, INC.",OWNER,CITY OF CHICAGO,,,6720 S HONORE ST,True
100363265,3905,N,OAKLEY AVE,WRECK & REMOVE 2 STORY FRAME BUILDING,CONTRACTOR-WRECKING,G & L  CONTRACTORS,OWNER,MANGAN BUILDERS,,,3905 N OAKLEY AVE,False
100363739,4203,W,MONROE ST,WRECK AND REMOVE A 2 STORY BRICK RESIDENTIAL BUILDING,CONTRACTOR-WRECKING,ALLIANCE DEMOLITION SERVICES I,OWNER,CITY OF CHICAGO,,,4203 W MONROE ST,True
100362529,4803,S,PRINCETON AVE,WRECK AND REMOVE 2 STORY FRAME RESIDENCE,CONTRACTOR-WRECKING,SPIRIT WRECKING & EXCAVATION,OWNER,CITY OF CHICAGO,,,4803 S PRINCETON AVE,True
100358350,4242,S,COTTAGE GROVE AVE,WRECK & REMOVE 1 STORY DETACHED PRIVATE GARAGE,CONTRACTOR-WRECKING,MJC DEMOLITION INC,OWNER,SHATAYN TRAVIS/ KOCO,,,4242 S COTTAGE GROVE AVE,False
100362555,735,N,DRAKE AVE,WRECK & REMOVE TWO STORY BRICK RESIDENTIAL BUILDING,CONTRACTOR-WRECKING,SPIRIT WRECKING & EXCAVATION,OWNER,CITY OF CHICAGO,,,735 N DRAKE AVE,True
100357060,55,W,103RD ST,WRECK & REMOVE 2 STORY FRAME RESIDENTIAL BUILDING,CONTRACTOR-WRECKING,ALLIANCE DEMOLITION SERVICES I,OWNER,CITY OF CHICAGO,,,55 W 103RD ST,True
100358803,147,W,103RD ST,,CONTRACTOR-WRECKING,"D.M.D. SERVICES, INC.",OWNER,CITY OF CHICAGO,,,147 W 103RD ST,True
100359843,4733,W,SUPERIOR ST,WRECK & REMOVE 1 STORY FRAME BUILDING,CONTRACTOR-WRECKING,DELTA DEMOLITION,OWNER,CITY OF CHICAGO,,,4733 W SUPERIOR ST,True
100358949,7409,S,RACINE AVE,WRECK AND REMOVE A 2 STORY FRAME BUILDING.,CONTRACTOR-WRECKING,DELTA DEMOLITION,OWNER,CITY OF CHICAGO,,,7409 S RACINE AVE,True
100366316,2035,W,MCLEAN AVE,DEMOLITION OF A EXISTING FRAME 1 STORY BUILDING WITH BASEMENT.,CONTRACTOR-WRECKING,PMG CONTRACTORS & BUILDERS INC,OWNER,DAVID BENSON,,,2035 W MCLEAN AVE,False
100356129,11814,S,LAFAYETTE AVE,DEMOLITION OF EMERGENCY FIRE DAMAGED 2 STORY BUILDING.,CONTRACTOR-WRECKING,BECHSTEIN CONSTRUCTION,OWNER,CITY OF CHICAGO,,,11814 S LAFAYETTE AVE,True
100366743,2648,N,HALSTED ST,WRECK & REMOVE 2 STORY FRAME (WOOD) BUILDING,CONTRACTOR-WRECKING,NF DEMOLITION,OWNER,CITY OF CHICAGO,,,2648 N HALSTED ST,True
100363284,3901,W,16TH ST,WRECK & REMOVE 1 STORY BRICK BUILDING,CONTRACTOR-WRECKING,LEEWAY WRECKER INC.,OWNER,CITY OF CHICAGO,,,3901 W 16TH ST,True
100364502,7744,S,ANTHONY AVE,WRECK AND REMOVE 1 STORY BRICK COMMERCIAL BUILDING,CONTRACTOR-WRECKING,NF DEMOLITION,OWNER,CITY OF CHICAGO,,,7744 S ANTHONY AVE,True
100360825,5613,S,GREEN ST,EMERGENCY DEMOLITION: WRECK AND REMVOE A 2 STORY FRAME RESIDENTIAL HOUSE.,CONTRACTOR-WRECKING,SPIRIT WRECKING & EXCAVATION,OWNER,CITY OF CHICAGO,,,5613 S GREEN ST,True
100361553,1832,S,HARDING AVE,WRECK & REMOVE 1 STORY BRICK BUILDING,CONTRACTOR-WRECKING,LEEWAY WRECKER INC.,OWNER,CITY OF CHICAGO,,,1832 S HARDING AVE,True
100361561,6826,S,MAY ST,WRECK & REMOVE 2 STORY FRAME FIRE DAMGED RESIDENTIAL BUILDING,CONTRACTOR-WRECKING,LEEWAY WRECKER INC.,OWNER,CITY OF CHICAGO,,,6826 S MAY ST,True
100359929,5941,S,SAWYER AVE,COMPLETE DEMO OF RESIDENCE (EMERGENCY ) ORDER 1 STORY BRICK,CONTRACTOR-WRECKING,BECHSTEIN CONSTRUCTION,OWNER,CITY OF CHICAGO,,,5941 S SAWYER AVE,True
100364832,4235,W,FILLMORE ST,WRECK AND REMOVE A 2 STORY BRICK RESIDENTIAL USE BUILDING.,CONTRACTOR-WRECKING,"D.M.D. SERVICES, INC.",OWNER,CITY OF CHICAGO,,,4235 W FILLMORE ST,True
100365402,2224,S,AVERS AVE,WRECK & REMOVE 2 STORY BRICK BUILDING ONLY.,CONTRACTOR-WRECKING,WINFREY RESIDENTIAL SERVICES,OWNER,MICHAEL A TROUT,,,2224 S AVERS AVE,False
100356913,2137,W,54TH PL,WRECK & REMOVE 1 STORY FRAME BUILDING,CONTRACTOR-WRECKING,SPIRIT WRECKING & EXCAVATION,OWNER,CITY OF CHICAGO,,,2137 W 54TH PL,True
100360353,763,W,JACKSON BLVD,WRECK AND REMOVE A 1 & 2 STORY BRICK COMMERCIAL BUILDING.,CONTRACTOR-WRECKING,NATIONAL WRECKING CO,OWNER,INTERNATIPONAL UNION OF OPERATING ENG.,,,763 W JACKSON BLVD,False
100362549,4430,S,CHRISTIANA AVE,DEMOLISH 2 STORY OF BRICK,CONTRACTOR-WRECKING,KLF EXCAVATING,OWNER,WAYNE RYTLEWSKI,,,4430 S CHRISTIANA AVE,False
100358950,1055,N,KEELER AVE,WRECK AND REMOVE A 1 STORY BRICK BUILDING.,CONTRACTOR-WRECKING,DELTA DEMOLITION,OWNER,CITY OF CHICAGO,,,1055 N KEELER AVE,True
100359069,5384,N,BOWMANVILLE AVE,WRECK & REMOVE 1 1/2 STORY FRAME/MASONRY RESIDENTIAL BUILDING,CONTRACTOR-WRECKING,NATIONAL WRECKING CO,OWNER,CORPORATION FOR OPENLANDS,,,5384 N BOWMANVILLE AVE,False
100362981,7717,S,GREENWOOD AVE,WRECK AND REMOVE A 2 STORY FRAME BUILDING.,CONTRACTOR-WRECKING,LEEWAY WRECKER INC.,OWNER,NEW LIFE COVENANT OAKWOOD CHURCH,,,7717 S GREENWOOD AVE,False
100358447,11356,S,WENTWORTH AVE,EMERGENCY DEMOLITON: WRECK AND REMOVE A 2 STORY RESIDENTIAL BUILDING.,CONTRACTOR-WRECKING,ALLIANCE DEMOLITION SERVICES I,OWNER,CITY OF CHICAGO,,,11356 S WENTWORTH AVE,True
100366697,7110,S,ST LAWRENCE AVE,WRECK AND REMOVE ONE STORY BRICK BUILDING.,CONTRACTOR-WRECKING,SPIRIT WRECKING & EXCAVATION,OWNER,CITY OF CHICAGO,,,7110 S ST LAWRENCE AVE,True
100354862,11951,S,LA SALLE ST,WRECK AND REMOVE ONE STORY FRAME RESIDENCE,CONTRACTOR-WRECKING,ALLIANCE DEMOLITION SERVICES I,OWNER,CITY OF CHICAGO,,,11951 S LA SALLE ST,True
100366830,319,W,63RD ST,WRECK A 1 STORY BRICK COMERCIAL BUILDING.,CONTRACTOR-WRECKING,HENEGHAN WRECK/EXCAV,OWNER,ST. BERNARDS HOSPITAL,,,319 W 63RD ST,False
100358206,5524,W,DRUMMOND PL,WRECK AND REMOVE A 2 STORY FRAME COACH HOUSE ONLY.,CONTRACTOR-WRECKING,LEEWAY WRECKER INC.,OWNER,CARMEN BAHENA,,,5524 W DRUMMOND PL,False
100359282,6104,S,MARSHFIELD AVE,WRECK & REMOVE 1.5 STORY FRAME RESIDENTIAL BUILDING,CONTRACTOR-WRECKING,LEEWAY WRECKER INC.,OWNER,CITY OF CHICAGO,,,6104 S MARSHFIELD AVE,True
100358838,3942,N,MARSHFIELD AVE,WRECK AND REMOVE AN EXISTING 2 STORY FRAME SFR AND GARAGE.,CONTRACTOR-WRECKING,PRECISION EXCAVATION L L C,OWNER,SEAN & LAURA RAHILLY,,,3942 N MARSHFIELD AVE,False
100365121,1315,W,NORTH AVE,WRECK\REMOVE EXISTING FRAME GARAGE & REAR ENCLOSED PORCH ONLY TO BUILDING,CONTRACTOR-WRECKING,PRECISION EXCAVATION L L C,OWNER,DAVID DUCKLER,,,1315 W NORTH AVE,False
100359150,2519,N,ASHLAND AVE,WRECK & REMOVE TWO STORY FRAME BUILDING,CONTRACTOR-WRECKING,SPIRIT WRECKING & EXCAVATION,OWNER,SERVICE 40 SEASONS,,,2519 N ASHLAND AVE,False
100361530,6933,S,YALE AVE,WRECK AND REMOVE A 2 STORY HOUSE.,CONTRACTOR-WRECKING,ALLIANCE DEMOLITION SERVICES I,OWNER,FANNIE MAE,,,6933 S YALE AVE,False
100361739,2841,W,WARREN BLVD,EMERGENCY DEMOLITION OF A 2 STORY BRICK MULTI FAMILY RESIDENTIAL BUILDING.,CONTRACTOR-WRECKING,NATIONAL WRECKING CO,OWNER,CITY OF CHICAGO,,,2841 W WARREN BLVD,True
100363047,3935,N,PAULINA ST,WRECK AND REMOVE A FRAME SINGLE FAMILY HOME AND GARAGE.,CONTRACTOR-WRECKING,PRECISION EXCAVATION L L C,OWNER,GT BUILDERS,,,3935 N PAULINA ST,False
100357343,3858,W,WASHINGTON BLVD,WRECK AND REMOVE 1 1/2 STORY FRAME SINGLE FAMILY,CONTRACTOR-WRECKING,"D.M.D. SERVICES, INC.",OWNER,CITY OF CHICAGO,,,3858 W WASHINGTON BLVD,True
100364119,726,N,CHRISTIANA AVE,WRECK & REMOVE 2 STORY BRICK RESIDENTIAL BUILDING W/ BSMT,CONTRACTOR-WRECKING,LEEWAY WRECKER INC.,OWNER,CITY OF CHICAGO,,,726 N CHRISTIANA AVE,True
100361557,830,N,LOREL AVE,WRECK & REMOVE 2 STORY FRAME FIRE DAMAGED RESIDENTIAL BUILDING,CONTRACTOR-WRECKING,LEEWAY WRECKER INC.,OWNER,CITY OF CHICAGO,,,830 N LOREL AVE,True
100359043,5317,S,HONORE ST,WRECK & REMOVE 2 STORY FRAME RESIDENTIAL BUILDING,CONTRACTOR-WRECKING,ALLIANCE DEMOLITION SERVICES I,OWNER,CITY OF CHICAGO,,,5317 S HONORE ST,True
100361837,4300,W,HADDON AVE,WRECK AND REMOVE 2 STORY BRICK BUILDING,CONTRACTOR-WRECKING,DELTA DEMOLITION,OWNER,CITY OF CHICAGO,,,4300 W HADDON AVE,True
100361487,13779,S,LEYDEN AVE,EMERGENCY WRECK AND REMOVE 1 STORY COMMERCIAL BUILDING,CONTRACTOR-WRECKING,OMEGA DEMO,OWNER,CITY OF CHICAGO,,,13779 S LEYDEN AVE,True
100363519,4735,W,63RD ST,WRECK & REMOVE 1 STORY BRICK COMMERCIAL BUILDING,CONTRACTOR-WRECKING,NATIONAL WRECKING CO,OWNER,CITY OF CHICAGO,,,4735 W 63RD ST,True
100357269,11515,S,LA SALLE ST,EMERGENCY DEMOLITION OF A 1 STORY FRAME RESIDENTIAL BUILDING,CONTRACTOR-WRECKING,ALLIANCE DEMOLITION SERVICES I,OWNER,CITY OF CHICAGO,,,11515 S LA SALLE ST,True
100355632,2723,S,ELEANOR ST,WRECK AND REMOVE A 1 STORY FRAME HOUSE.,CONTRACTOR-WRECKING,DS CONSTRUCTION,OWNER,ANDY STODYCKA,,,2723 S ELEANOR ST,False
100359280,1421,S,KILBOURN AVE,WRECK & REMOVE 1.5 STORY FRAME RESIDENTIAL BUILDING & 1 STORY FRAME GARAGE,CONTRACTOR-WRECKING,LEEWAY WRECKER INC.,OWNER,CITY OF CHICAGO,,,1421 S KILBOURN AVE,True
100357146,8842,S,STONY ISLAND AVE,WRECK & REMOVE 1 STORY BRICK COMMERCIAL BUILDING,CONTRACTOR-WRECKING,MIDWEST WRECKING,OWNER,NORTH STAR TRUST CO.,,,8842 S STONY ISLAND AVE,False
100366041,2849,S,ARCHER AVE,WRECK AND REMVOE A 2 STORY BRICK BUILDING.,CONTRACTOR-WRECKING,DELTA DEMOLITION,OWNER,CITY OF CHICAGO,,,2849 S ARCHER AVE,True
100362809,7645,S,GREENWOOD AVE,WRECK & REMOVE 2 STORY FRAME RESIDENTIAL BUILDING,CONTRACTOR-WRECKING,LEEWAY WRECKER INC.,OWNER,NEW LIFE COVENANT OAKWOOD CHURCH,,,7645 S GREENWOOD AVE,False
